EG12130-MONOMER	GO:0043531,F,IDA;GO:0070417,P,IEP;GO:0005515,F,IPI;GO:0016887,F,IDA;GO:0016226,P,IGI|IMP;GO:0005524,F,IDA
EG12131-MONOMER	GO:0051087,F,IDA;GO:0031072,F,IDA;GO:0005515,F,IPI
APP-UBIOX-CPLX	GO:0005886,C,IDA;GO:0048038,F,IDA;GO:0019646,P,IDA|IMP;GO:0009055,F,IDA|IMP;GO:0016682,F,IDA;GO:0070069,C,IDA;GO:0020037,F,IDA
ACECITLY-CPLX	GO:0009346,C,IDA;GO:0008815,F,IDA
BCCP-BIOTIN	GO:0009317,C,IDA;GO:0006633,P,IDA;GO:0009374,F,IDA
ENTB-CPLX	GO:0031177,F,IDA;GO:0008908,F,IDA|IMP;GO:0009239,P,IDA|IMP;GO:0009366,C,IDA
ENTF-PANT	GO:0043041,P,IDA;GO:0031177,F,IDA;GO:0009239,P,IMP;GO:0009366,C,IDA
KETOBUTFORMLY-MONOMER	GO:0008861,F,IDA;GO:0006567,P,IEP;GO:0009061,P,IGI
MONOMER0-2741	GO:0032993,C,IDA;GO:0001046,F,IDA;GO:0009372,P,IMP;GO:0000156,F,IMP;GO:0010038,P,IMP;GO:0010628,P,IDA
MONOMER0-4178	GO:0000160,P,IDA;GO:0046688,P,IMP;GO:0009927,F,IDA;GO:0010628,P,IMP
MONOMER0-4180	GO:0001114,C,IDA;GO:0001046,F,IDA;GO:0046688,P,IMP;GO:0010628,P,IMP;GO:0000160,P,IDA
MONOMER0-4288	GO:0003677,F,IDA|IPI;GO:0006355,P,IDA|IPI
PGLYCEROLTRANSII-MONOMER	GO:0008960,F,IDA;GO:0042597,C,IDA;GO:0006490,P,IDA
PHOSPHO-ARCA	GO:0006355,P,IDA;GO:0000160,P,IDA;GO:0000156,F,IDA;GO:0016563,F,IDA;GO:0016564,F,IDA
PHOSPHO-ARCB-ASP	GO:0009927,F,IDA;GO:0016021,C,IDA;GO:0000155,F,IDA;GO:0000160,P,IDA
PHOSPHO-ARCB-HIS	GO:0009927,F,IDA;GO:0000160,P,IDA;GO:0000155,F,IDA;GO:0016021,C,IDA
PHOSPHO-ARCB717	GO:0009927,F,IDA;GO:0016021,C,IDA;GO:0000160,P,IDA;GO:0000155,F,IDA
PHOSPHO-ATOS	GO:0005886,C,IDA;GO:0000155,F,IDA;GO:0000160,P,IDA;GO:0046777,P,IDA;GO:0005524,F,IMP
PHOSPHO-BAER	GO:0006351,P,IDA|IEP;GO:0016563,F,IDA|IEP
PHOSPHO-BASS	GO:0005886,C,IDA;GO:0010041,P,IEP|IGI;GO:0018106,P,IDA;GO:0016772,F,IDA;GO:0005524,F,IDA;GO:0004673,F,IDA;GO:0000160,P,IDA
PHOSPHO-CREB	GO:0016563,F,IDA|IEP
PHOSPHO-DPIA	GO:0000160,P,IDA;GO:0003677,F,IDA;GO:0006355,P,IMP;GO:0000156,F,IDA
PHOSPHO-HYDG	GO:0006351,P,IEP|IGI;GO:0016563,F,IEP|IGI
PROTEIN-NRIP	GO:0001151,F,IDA;GO:2000144,P,IDA;GO:2000211,P,IDA;GO:0006995,P,IDA;GO:0000160,P,IDA;GO:0000156,F,IDA;GO:0016887,F,IDA;GO:0001114,C,IDA
PYRUVFORMLY-CPLX	GO:0005829,C,IDA
SAMDC-ALPHA-MONOMER	GO:0004014,F,IDA;GO:0008295,P,IMP
FUM-FE-S	GO:0016020,C,IDA;GO:0009296,P,IMP;GO:0001539,P,IMP;GO:0051539,F,IDA;GO:0051538,F,IDA;GO:0051537,F,IDA;GO:0005515,F,IPI;GO:0009061,P,IMP;GO:0006113,P,IMP;GO:0009055,F,IDA;GO:0005737,C,IDA
SDH-FE-S	GO:0051539,F,IMP;GO:0051538,F,IDA;GO:0051537,F,IMP;GO:0051536,F,IDA;GO:0009055,F,IMP;GO:0005515,F,IPI;GO:0009060,P,IEP
FERREDOXIN-MONOMER	GO:0005515,F,IPI
CPLX0-7807	GO:0015546,F,IMP;GO:0015906,P,IMP
G6999-MONOMER	GO:0071421,P,IEP|IMP;GO:0005384,F,IEP|IMP;GO:0010042,P,IEP;GO:0005887,C,IC
EG11724-MONOMER	GO:0015992,P,IDA;GO:0015207,F,IDA;GO:0015853,P,IDA;GO:0015295,F,IDA
G6859-MONOMER	GO:0042710,P,IMP;GO:0015562,F,IMP;GO:0009372,P,IMP;GO:0006810,P,IMP
CPLX0-7976	GO:0097347,C,IDA;GO:0009279,C,IDA;GO:0005886,C,IDA;GO:0009306,P,IGI|IMP
RHAT-MONOMER	GO:0005886,C,IDA;GO:0015762,P,IMP;GO:0015293,F,IDA
TRKG-MONOMER	GO:0006813,P,IMP
TRKH-MONOMER	GO:0005887,C,IDA
DCUC-MONOMER	GO:0015740,P,IGI
ABC-46-CPLX	GO:0015757,P,IDA;GO:0005354,F,IDA
ABC-49-CPLX	GO:0043492,F,IMP;GO:0005886,C,IDA;GO:0034775,P,IMP;GO:0034634,F,IMP
OPPD-MONOMER	GO:0015640,F,IGI;GO:0015834,P,IGI
XYLG-MONOMER	GO:0015614,F,IGI;GO:0015611,F,IGI;GO:0015753,P,IGI;GO:0015752,P,IGI
