EG12130-MONOMER	GO:0043531,F,IDA;GO:0070417,P,IEP;GO:0005515,F,IPI;GO:0016887,F,IDA;GO:0016226,P,IGI|IMP;GO:0005524,F,IDA
EG12131-MONOMER	GO:0051087,F,IDA;GO:0031072,F,IDA;GO:0005515,F,IPI
APP-UBIOX-CPLX	GO:0005886,C,IDA;GO:0048038,F,IDA;GO:0019646,P,IDA|IMP;GO:0009055,F,IDA|IMP;GO:0016682,F,IDA;GO:0070069,C,IDA;GO:0020037,F,IDA
G7324-MONOMER	GO:0051539,F,IDA;GO:0051537,F,IDA;GO:0042802,F,IPI;GO:0005515,F,IPI;GO:0016226,P,IDA
PGLYCEROLTRANSII-MONOMER	GO:0008960,F,IDA;GO:0042597,C,IDA;GO:0006490,P,IDA
SAMDC-ALPHA-MONOMER	GO:0004014,F,IDA;GO:0008295,P,IMP
BCCP-BIOTIN	GO:0009317,C,IDA;GO:0006633,P,IDA;GO:0009374,F,IDA
OX-THIOREDOXIN2-MONOMER	GO:0005515,F,IPI
KETOBUTFORMLY-MONOMER	GO:0008861,F,IDA;GO:0006567,P,IEP;GO:0009061,P,IGI
PYRUVFORMLY-CPLX	GO:0005829,C,IDA
ACECITLY-CPLX	GO:0009346,C,IDA;GO:0008815,F,IDA
ENTF-PANT	GO:0043041,P,IDA;GO:0031177,F,IDA;GO:0009239,P,IMP;GO:0009366,C,IDA
SDH-FE-S	GO:0051539,F,IMP;GO:0051538,F,IDA;GO:0051537,F,IMP;GO:0051536,F,IDA;GO:0009055,F,IMP;GO:0005515,F,IPI;GO:0009060,P,IEP
FUM-FE-S	GO:0016020,C,IDA;GO:0009296,P,IMP;GO:0001539,P,IMP;GO:0051539,F,IDA;GO:0051538,F,IDA;GO:0051537,F,IDA;GO:0005515,F,IPI;GO:0009061,P,IMP;GO:0006113,P,IMP;GO:0009055,F,IDA;GO:0005737,C,IDA
LIPOYL-ACP	GO:0042493,P,IMP;GO:0031177,F,IMP;GO:0009245,P,IMP;GO:0006633,P,IMP;GO:0000036,F,IDA;GO:0000035,F,IDA;GO:0005737,C,IDA
PHNC-MONOMER	GO:0042916,P,IMP
PHNK-MONOMER	GO:0019700,P,IMP
YHBG-MONOMER	GO:0015920,P,IMP;GO:0043190,C,IDA;GO:0015437,F,IDA;GO:0005886,C,IDA
PHNE-MONOMER	GO:0042916,P,IGI;GO:0042917,F,IGI
PHND-MONOMER	GO:0042916,P,IMP;GO:0042917,F,IMP;GO:0043168,F,IPI
YHBN-MONOMER	GO:0009279,C,IDA;GO:0030288,C,IDA;GO:0046836,P,IMP;GO:0015920,P,IMP;GO:0042597,C,IDA;GO:0017089,F,IMP
CMTA-MONOMER	GO:0015797,P,IGI;GO:0015575,F,IGI
CMTB-MONOMER	GO:0015575,F,IGI;GO:0015797,P,IGI
CRR-MONOMER	GO:0005829,C,IDA;GO:0016020,C,IDA
SGAT-MONOMER	GO:0015882,P,IMP;GO:0005886,C,IDA;GO:0008982,F,IDA;GO:0009401,P,IDA
MANX-MONOMER	GO:0005829,C,IDA;GO:0042803,F,IDA;GO:0022870,F,IDA;GO:0005887,C,IDA;GO:0016020,C,IDA;GO:0005737,C,IDA;GO:0005515,F,IPI;GO:0009401,P,IDA
MANY-MONOMER	GO:0005887,C,IDA;GO:0022870,F,IDA;GO:0016020,C,IDA;GO:0009401,P,IDA
MANZ-MONOMER	GO:0005887,C,IDA;GO:0022870,F,IDA;GO:0016020,C,IDA;GO:0009401,P,IDA
TREHALAPERI-MONOMER	GO:0006974,P,IEP;GO:0005993,P,IMP;GO:0071474,P,IEP;GO:0030288,C,IDA;GO:0004555,F,IDA
YJFT-MONOMER	GO:0015882,P,IMP;GO:0005737,C,IDA;GO:0008982,F,IDA;GO:0009401,P,IDA
YJFU-MONOMER	GO:0015882,P,IMP;GO:0008982,F,IDA;GO:0009401,P,IDA
PTSH-MONOMER	GO:0043085,P,IDA;GO:0019197,C,IDA;GO:0008965,F,IDA;GO:0016301,F,IDA;GO:0009401,P,IDA;GO:0008047,F,IDA;GO:0045819,P,IDA
YHHO-MONOMER	GO:0035444,P,IMP;GO:0006829,P,IMP;GO:0015094,F,IMP;GO:0015087,F,IMP;GO:0015099,F,IMP;GO:0006824,P,IMP;GO:0015692,P,IMP;GO:0046686,P,IMP;GO:0010312,P,IMP;GO:0016021,C,IDA;GO:0008551,F,IDA;GO:0016463,F,IDA
CADB-MONOMER	GO:0015992,P,IDA;GO:0003333,P,IMP;GO:0016020,C,IDA;GO:0015295,F,IDA;GO:0043872,F,IMP
GLPF-MONOMER	GO:0071288,P,IDA;GO:0015168,F,IDA;GO:0005886,C,IDA;GO:0015793,P,IDA|IMP;GO:0015254,F,IDA
MONOMER-13763	GO:0004659,F,IDA
MONOMER-13764	GO:0043693,P,IDA
HS03712-MONOMER	GO:0005886,C,IDA;GO:0012506,C,IDA;GO:0005765,C,IDA;GO:0005774,C,IDA
HS03720-MONOMER	GO:0005777,C,IDA
MONOMER-13778	GO:0008422,F,IDA
HS03781-MONOMER	GO:0005765,C,IDA;GO:0005774,C,IDA;GO:0012506,C,IDA;GO:0005886,C,IDA
MONOMER-13779	GO:0008422,F,IDA
